source_label,level,best_target,n_cells,group_purity,target_purity,f1,median_boot
AAC,class,07 CTX-MGE GABA,6,1.0,0.07894736842105263,0.14634146341463414,1.0
AAC,subclass,052 Pvalb Gaba,5,0.8333333333333334,0.06666666666666667,0.1234567901234568,1.0
AAC,supertype,0206 Pvalb Gaba_2,5,0.8333333333333334,0.06578947368421052,0.12195121951219512,1.0
AAC,cluster,0739 Pvalb Gaba_2,5,0.8333333333333334,0.1388888888888889,0.2380952380952381,1.0
hBC,class,07 CTX-MGE GABA,11,1.0,0.14473684210526316,0.2528735632183908,1.0
hBC,subclass,052 Pvalb Gaba,11,0.9166666666666666,0.14666666666666667,0.25287356321839083,1.0
hBC,supertype,0206 Pvalb Gaba_2,11,0.9166666666666666,0.14473684210526316,0.25,1.0
hBC,cluster,0737 Pvalb Gaba_2,4,0.5,0.17391304347826086,0.25806451612903225,0.995
hBIC,class,07 CTX-MGE GABA,10,1.0,0.13157894736842105,0.23255813953488372,1.0
hBIC,subclass,052 Pvalb Gaba,10,0.9090909090909091,0.13333333333333333,0.2325581395348837,0.985
hBIC,supertype,0206 Pvalb Gaba_2,9,0.8181818181818182,0.11842105263157894,0.20689655172413793,1.0
hBIC,cluster,0737 Pvalb Gaba_2,9,0.9,0.391304347826087,0.5454545454545454,1.0
vBC,class,07 CTX-MGE GABA,42,1.0,0.5526315789473685,0.711864406779661,1.0
vBC,subclass,052 Pvalb Gaba,41,0.8723404255319149,0.5466666666666666,0.6721311475409836,1.0
vBC,supertype,0206 Pvalb Gaba_2,42,0.8936170212765957,0.5526315789473685,0.6829268292682927,1.0
vBC,cluster,0739 Pvalb Gaba_2,27,0.8709677419354839,0.75,0.8059701492537312,1.0
vBIC,class,07 CTX-MGE GABA,7,1.0,0.09210526315789473,0.1686746987951807,1.0
vBIC,subclass,052 Pvalb Gaba,8,1.0,0.10666666666666667,0.1927710843373494,1.0
vBIC,supertype,0206 Pvalb Gaba_2,9,1.0,0.11842105263157894,0.2117647058823529,1.0
vBIC,cluster,0737 Pvalb Gaba_2,7,1.0,0.30434782608695654,0.4666666666666667,1.0
